,Diện tích,Mức giá,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,id,legal codes,direction codes,most_similar
1238,150.0,5.0,0,0,0,0,34333071,80,-1,"['34339008', '34293246', '34308622', '34224055', '34263037']"
1239,200.0,0.0,5,10,0,0,34333315,104,-1,"['34326910', '28503552', '34313382', '34216402', '34267482']"
1240,130.0,0.7692307692307693,0,5,0,0,34333317,80,-1,"['34253479', '34334858', '34332628', '34335005', '33617384']"
1241,120.0,8.33325,30,0,0,0,34333377,80,-1,"['34338780', '34217613', '34323680', '33998686', '33046128']"
1242,250.0,0.9996,5,10,0,0,34333453,-1,-1,"['34172669', '33031928', '34332013', '33427253', '31205239']"
1243,200.0,0.0,0,0,0,0,34333563,90,-1,"['34330325', '33469466', '34323323', '34342156', '34325880']"
1244,1371.0,0.5762217359591539,0,0,0,0,34333602,-1,-1,"['26773983', '26828919', '34305036', '30715391', '34086906']"
1245,3000.0,1.0,0,0,0,0,34333618,80,-1,"['33223831', '34247271', '34264878', '34172420', '34247268']"
1246,300.0,0.0,20,0,0,0,34333683,80,-1,"['34339363', '32309277', '32554171', '34323060', '32855802']"
1247,200.0,4.5,10,10,0,0,34333694,63,-1,"['34313475', '34335001', '27216349', '33129957', '34311410']"
1248,200.0,0.0,8,10,0,0,34333695,70,-1,"['34309048', '33813011', '34305179', '31398309', '34215694']"
1249,1522.0,0.12812089356110382,0,0,0,0,34333782,80,-1,"['34310954', '34301899', '34338349', '34326476', '34291975']"
1250,150.0,1.298,6,10,0,0,34333866,80,-1,"['34339123', '34292825', '34330402', '34332684', '34332635']"
1251,530.0,0.3584905660377358,21,5,0,0,34333913,80,-1,"['34285943', '34296105', '32120760', '32893437', '33616018']"
1252,270.67,7.3890715631580886,10,10,7,7,34333942,80,-1,"['34331806', '34309892', '33790988', '34323212', '34217530']"
1253,1800.0,0.25,0,0,0,0,34333961,1,-1,"['33408433', '34331483', '34260308', '33446738', '34329073']"
1254,534.0,0.37453183520599254,0,5,0,0,34334309,80,-1,"['33466754', '34326714', '34323915', '33639478', '34333317']"
1255,200.0,0.75,0,6,0,0,34334858,80,-1,"['34253479', '34332628', '34335005', '34333317', '33595144']"
1256,135.0,9.2,0,0,0,0,34334912,83,-1,"['33758369', '32890700', '34120328', '34310803', '33557247']"
1257,120.0,0.0,0,0,0,0,34334928,83,-1,"['34337867', '34337772', '34338097', '34338242', '32015610']"
1258,231.1,4.976200778883601,9.29,0,0,0,34335001,62,-1,"['34313475', '34333694', '27216349', '33129957', '34311410']"
1259,130.0,0.9230769230769231,0,6,0,0,34335005,80,-1,"['34332628', '34334858', '34253479', '33595144', '34333317']"
1260,200.0,0.0,6,7,0,0,34335057,80,-1,"['33978493', '33884641', '34244152', '34276505', '33684751']"
